Station;zona;etapa;zona_etapa;Species;Cuando;hora_redondeo;time_1;time_2
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 15:28;03/09/2018 15:00;15:28:00;0,64444444
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 15:28;03/09/2018 15:00;15:28:00;0,64444444
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 15:50;03/09/2018 16:00;15:50:00;0,65972222
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 15:50;03/09/2018 16:00;15:50:00;0,65972222
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 17:38;03/09/2018 18:00;17:38:00;0,73472222
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 18:15;03/09/2018 18:00;18:15:00;0,76041667
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 18:15;03/09/2018 18:00;18:15:00;0,76041667
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 18:24;03/09/2018 18:00;18:24:00;0,76666667
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 18:24;03/09/2018 18:00;18:24:00;0,76666667
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 18:37;03/09/2018 19:00;18:37:00;0,77569444
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 18:44;03/09/2018 19:00;18:44:00;0,78055556
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 18:44;03/09/2018 19:00;18:44:00;0,78055556
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 18:47;03/09/2018 19:00;18:47:00;0,78263889
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 18:55;03/09/2018 19:00;18:55:00;0,78819444
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 19:09;03/09/2018 19:00;19:09:00;0,79791667
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 19:09;03/09/2018 19:00;19:09:00;0,79791667
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 19:11;03/09/2018 19:00;19:11:00;0,79930556
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 19:11;03/09/2018 19:00;19:11:00;0,79930556
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 19:44;03/09/2018 20:00;19:44:00;0,82222222
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 22:49;03/09/2018 23:00;22:49:00;0,95069444
E33;alta;2018;alta_2018;Gato_2018;03/09/2018 23:14;03/09/2018 23:00;23:14:00;0,96805556
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 10:03;04/09/2018 10:00;10:03:00;0,41875
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 10:06;04/09/2018 10:00;10:06:00;0,42083333
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 10:10;04/09/2018 10:00;10:10:00;0,42361111
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 10:21;04/09/2018 10:00;10:21:00;0,43125
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 10:23;04/09/2018 10:00;10:23:00;0,43263889
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 10:35;04/09/2018 11:00;10:35:00;0,44097222
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 10:38;04/09/2018 11:00;10:38:00;0,44305556
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 10:44;04/09/2018 11:00;10:44:00;0,44722222
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 10:47;04/09/2018 11:00;10:47:00;0,44930556
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 11:01;04/09/2018 11:00;11:01:00;0,45902778
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 11:10;04/09/2018 11:00;11:10:00;0,46527778
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 11:17;04/09/2018 11:00;11:17:00;0,47013889
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 11:17;04/09/2018 11:00;11:17:00;0,47013889
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 11:17;04/09/2018 11:00;11:17:00;0,47013889
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 11:57;04/09/2018 12:00;11:57:00;0,49791667
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 13:36;04/09/2018 14:00;13:36:00;0,56666667
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 13:36;04/09/2018 14:00;13:36:00;0,56666667
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 13:36;04/09/2018 14:00;13:36:00;0,56666667
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 13:45;04/09/2018 14:00;13:45:00;0,57291667
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 14:36;04/09/2018 15:00;14:36:00;0,60833333
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 14:48;04/09/2018 15:00;14:48:00;0,61666667
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 15:12;04/09/2018 15:00;15:12:00;0,63333333
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 17:07;04/09/2018 17:00;17:07:00;0,71319444
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 17:13;04/09/2018 17:00;17:13:00;0,71736111
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 17:13;04/09/2018 17:00;17:13:00;0,71736111
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 17:28;04/09/2018 17:00;17:28:00;0,72777778
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 17:41;04/09/2018 18:00;17:41:00;0,73680556
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 17:51;04/09/2018 18:00;17:51:00;0,74375
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 18:03;04/09/2018 18:00;18:03:00;0,75208333
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 18:08;04/09/2018 18:00;18:08:00;0,75555556
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 18:08;04/09/2018 18:00;18:08:00;0,75555556
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 19:48;04/09/2018 20:00;19:48:00;0,825
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 22:16;04/09/2018 22:00;22:16:00;0,92777778
E33;alta;2018;alta_2018;Gato_2018;04/09/2018 23:00;04/09/2018 23:00;23:00:00;0,95833333
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 7:20;05/09/2018 7:00;7:20:00;0,30555556
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 9:41;05/09/2018 10:00;9:41:00;0,40347222
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 10:38;05/09/2018 11:00;10:38:00;0,44305556
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 10:55;05/09/2018 11:00;10:55:00;0,45486111
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 10:58;05/09/2018 11:00;10:58:00;0,45694444
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 11:03;05/09/2018 11:00;11:03:00;0,46041667
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 11:16;05/09/2018 11:00;11:16:00;0,46944444
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 11:55;05/09/2018 12:00;11:55:00;0,49652778
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 13:57;05/09/2018 14:00;13:57:00;0,58125
E34;alta;2018;alta_2018;Gato_2018;06/09/2018 13:57;06/09/2018 14:00;13:57:00;0,58125
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 14:10;05/09/2018 14:00;14:10:00;0,59027778
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 14:25;05/09/2018 14:00;14:25:00;0,60069444
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 14:30;05/09/2018 15:00;14:30:00;0,60416667
E34;alta;2018;alta_2018;Gato_2018;06/09/2018 14:30;06/09/2018 15:00;14:30:00;0,60416667
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 17:04;05/09/2018 17:00;17:04:00;0,71111111
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 17:54;05/09/2018 18:00;17:54:00;0,74583333
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 17:54;05/09/2018 18:00;17:54:00;0,74583333
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 17:54;05/09/2018 18:00;17:54:00;0,74583333
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 17:56;05/09/2018 18:00;17:56:00;0,74722222
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 18:05;05/09/2018 18:00;18:05:00;0,75347222
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 18:05;05/09/2018 18:00;18:05:00;0,75347222
E33;alta;2018;alta_2018;Gato_2018;05/09/2018 18:05;05/09/2018 18:00;18:05:00;0,75347222
E33;alta;2018;alta_2018;Gato_2018;06/09/2018 9:23;06/09/2018 9:00;9:23:00;0,39097222
E33;alta;2018;alta_2018;Gato_2018;06/09/2018 10:05;06/09/2018 10:00;10:05:00;0,42013889
E33;alta;2018;alta_2018;Gato_2018;06/09/2018 10:13;06/09/2018 10:00;10:13:00;0,42569444
E33;alta;2018;alta_2018;Gato_2018;06/09/2018 10:30;06/09/2018 11:00;10:30:00;0,4375
E33;alta;2018;alta_2018;Gato_2018;06/09/2018 10:35;06/09/2018 11:00;10:35:00;0,44097222
E33;alta;2018;alta_2018;Gato_2018;06/09/2018 10:39;06/09/2018 11:00;10:39:00;0,44375
E33;alta;2018;alta_2018;Gato_2018;06/09/2018 10:39;06/09/2018 11:00;10:39:00;0,44375
E33;alta;2018;alta_2018;Gato_2018;06/09/2018 10:49;06/09/2018 11:00;10:49:00;0,45069444
E33;alta;2018;alta_2018;Gato_2018;06/09/2018 10:54;06/09/2018 11:00;10:54:00;0,45416667
E33;alta;2018;alta_2018;Gato_2018;06/09/2018 10:54;06/09/2018 11:00;10:54:00;0,45416667
E33;alta;2018;alta_2018;Gato_2018;06/09/2018 11:08;06/09/2018 11:00;11:08:00;0,46388889
E33;alta;2018;alta_2018;Gato_2018;06/09/2018 11:14;06/09/2018 11:00;11:14:00;0,46805556
E33;alta;2018;alta_2018;Gato_2018;06/09/2018 11:17;06/09/2018 11:00;11:17:00;0,47013889
E33;alta;2018;alta_2018;Gato_2018;06/09/2018 11:29;06/09/2018 11:00;11:29:00;0,47847222
E33;alta;2018;alta_2018;Gato_2018;06/09/2018 11:34;06/09/2018 12:00;11:34:00;0,48194444
