"","Station","Species","Cuando","hora_redondeo"
"165","E33","Gato_2018","03/09/2018 18:24","03/09/2018 18:00"
"166","E33","Gato_2018","03/09/2018 18:24","03/09/2018 18:00"
"167","E33","Gato_2018","03/09/2018 18:37","03/09/2018 19:00"
"168","E33","Gato_2018","03/09/2018 18:44","03/09/2018 19:00"
"169","E33","Gato_2018","03/09/2018 18:44","03/09/2018 19:00"
"170","E33","Gato_2018","03/09/2018 18:47","03/09/2018 19:00"
"171","E33","Gato_2018","03/09/2018 18:55","03/09/2018 19:00"
"172","E33","Gato_2018","03/09/2018 19:09","03/09/2018 19:00"
"173","E33","Gato_2018","03/09/2018 19:09","03/09/2018 19:00"
"174","E33","Gato_2018","03/09/2018 19:11","03/09/2018 19:00"
"175","E33","Gato_2018","03/09/2018 19:11","03/09/2018 19:00"
"176","E33","Gato_2018","03/09/2018 19:44","03/09/2018 20:00"
"177","E33","Gato_2018","03/09/2018 22:49","03/09/2018 23:00"
"178","E33","Gato_2018","03/09/2018 23:14","03/09/2018 23:00"
"179","E33","Gato_2018","04/09/2018 10:03","04/09/2018 10:00"
"180","E33","Gato_2018","04/09/2018 10:06","04/09/2018 10:00"
"181","E33","Gato_2018","04/09/2018 10:10","04/09/2018 10:00"
"182","E33","Gato_2018","04/09/2018 10:21","04/09/2018 10:00"
"183","E33","Gato_2018","04/09/2018 10:23","04/09/2018 10:00"
"184","E33","Gato_2018","04/09/2018 10:35","04/09/2018 11:00"
"185","E33","Gato_2018","04/09/2018 10:38","04/09/2018 11:00"
"186","E33","Gato_2018","04/09/2018 10:44","04/09/2018 11:00"
"187","E33","Gato_2018","04/09/2018 10:47","04/09/2018 11:00"
"188","E33","Gato_2018","04/09/2018 11:01","04/09/2018 11:00"
"189","E33","Gato_2018","04/09/2018 11:10","04/09/2018 11:00"
"190","E33","Gato_2018","04/09/2018 11:17","04/09/2018 11:00"
"191","E33","Gato_2018","04/09/2018 11:17","04/09/2018 11:00"
"192","E33","Gato_2018","04/09/2018 11:17","04/09/2018 11:00"
