nro;PRE_POST;Station;FechayHora;Species2;Species;Grupo;Cuando;hora_redondeo;hora
109;PRE;E12;24/08/2018 1:42;Gato;Gato_2018;1;24/08/2018 1:42;24/08/2018 2:00;2
110;PRE;E12;24/08/2018 13:56;Gato;Gato_2018;1;24/08/2018 13:56;24/08/2018 14:00;14
111;PRE;E12;24/08/2018 19:24;Gato;Gato_2018;1;24/08/2018 19:24;24/08/2018 19:00;19
112;PRE;E14;27/08/2018 14:55;Gato;Gato_2018;1;27/08/2018 14:55;27/08/2018 15:00;15
113;PRE;E14;27/08/2018 15:04;Gato;Gato_2018;1;27/08/2018 15:04;27/08/2018 15:00;15
114;PRE;E14;27/08/2018 17:15;Gato;Gato_2018;1;27/08/2018 17:15;27/08/2018 17:00;17
115;PRE;E14;28/08/2018 0:52;Gato;Gato_2018;1;28/08/2018 0:52;28/08/2018 1:00;1
116;PRE;E14;28/08/2018 8:37;Gato;Gato_2018;1;28/08/2018 8:37;28/08/2018 9:00;9
117;PRE;E14;28/08/2018 9:08;Gato;Gato_2018;1;28/08/2018 9:08;28/08/2018 9:00;9
118;PRE;E14;28/08/2018 9:08;Gato;Gato_2018;1;28/08/2018 9:08;28/08/2018 9:00;9
119;PRE;E14;28/08/2018 18:01;Gato;Gato_2018;1;28/08/2018 18:01;28/08/2018 18:00;18
120;PRE;E14;28/08/2018 19:31;Gato;Gato_2018;1;28/08/2018 19:31;28/08/2018 20:00;20
121;PRE;E14;29/08/2018 12:37;Gato;Gato_2018;1;29/08/2018 12:37;29/08/2018 13:00;13
122;PRE;E14;29/08/2018 14:10;Gato;Gato_2018;1;29/08/2018 14:10;29/08/2018 14:00;14
123;PRE;E14;29/08/2018 16:49;Gato;Gato_2018;1;29/08/2018 16:49;29/08/2018 17:00;17
124;PRE;E14;29/08/2018 17:48;Gato;Gato_2018;1;29/08/2018 17:48;29/08/2018 18:00;18
125;PRE;E14;30/08/2018 1:33;Gato;Gato_2018;1;30/08/2018 1:33;30/08/2018 2:00;2
126;PRE;E14;30/08/2018 21:09;Gato;Gato_2018;1;30/08/2018 21:09;30/08/2018 21:00;21
127;PRE;E14;30/08/2018 23:46;Gato;Gato_2018;1;30/08/2018 23:46;31/08/2018 0:00;0
128;PRE;E14;31/08/2018 3:21;Gato;Gato_2018;1;31/08/2018 3:21;31/08/2018 3:00;3
129;PRE;E14;31/08/2018 19:39;Gato;Gato_2018;1;31/08/2018 19:39;31/08/2018 20:00;20
130;PRE;E14;31/08/2018 19:39;Gato;Gato_2018;1;31/08/2018 19:39;31/08/2018 20:00;20
131;PRE;E14;01/09/2018 0:15;Gato;Gato_2018;1;01/09/2018 0:15;01/09/2018 0:00;0
132;PRE;E14;01/09/2018 0:53;Gato;Gato_2018;1;01/09/2018 0:53;01/09/2018 1:00;1
133;PRE;E15;21/08/2018 19:53;Gato;Gato_2018;1;21/08/2018 19:53;21/08/2018 20:00;20
134;PRE;E15;24/08/2018 0:04;Gato;Gato_2018;1;24/08/2018 0:04;24/08/2018 0:00;0
135;PRE;E15;24/08/2018 23:06;Gato;Gato_2018;1;24/08/2018 23:06;24/08/2018 23:00;23
136;PRE;E20;29/08/2018 0:59;Gato;Gato_2018;1;29/08/2018 0:59;29/08/2018 1:00;1
137;PRE;E21;18/08/2018 3:07;Gato;Gato_2018;1;18/08/2018 3:07;18/08/2018 3:00;3
138;PRE;E22;21/08/2018 13:21;Gato;Gato_2018;1;21/08/2018 13:21;21/08/2018 13:00;13
139;PRE;E23;22/08/2018 16:59;Gato;Gato_2018;1;22/08/2018 16:59;22/08/2018 17:00;17
140;PRE;E23;22/08/2018 21:59;Gato;Gato_2018;1;22/08/2018 21:59;22/08/2018 22:00;22
141;PRE;E23;24/08/2018 7:52;Gato;Gato_2018;1;24/08/2018 7:52;24/08/2018 8:00;8
142;PRE;E27;24/08/2018 9:40;Gato;Gato_2018;1;24/08/2018 9:40;24/08/2018 10:00;10
143;PRE;E27;24/08/2018 23:35;Gato;Gato_2018;1;24/08/2018 23:35;25/08/2018 0:00;0
144;PRE;E30;23/08/2018 14:49;Gato;Gato_2018;1;23/08/2018 14:49;23/08/2018 15:00;15
145;PRE;E32;03/09/2018 13:14;Gato;Gato_2018;1;03/09/2018 13:14;03/09/2018 13:00;13
146;PRE;E32;04/09/2018 14:31;Gato;Gato_2018;1;04/09/2018 14:31;04/09/2018 15:00;15
147;PRE;E32;05/09/2018 12:11;Gato;Gato_2018;1;05/09/2018 12:11;05/09/2018 12:00;12
148;PRE;E33;03/09/2018 11:36;Gato;Gato_2018;1;03/09/2018 11:36;03/09/2018 12:00;12
149;PRE;E33;03/09/2018 11:44;Gato;Gato_2018;1;03/09/2018 11:44;03/09/2018 12:00;12
150;PRE;E33;03/09/2018 11:53;Gato;Gato_2018;1;03/09/2018 11:53;03/09/2018 12:00;12
151;PRE;E33;03/09/2018 12:04;Gato;Gato_2018;1;03/09/2018 12:04;03/09/2018 12:00;12
152;PRE;E33;03/09/2018 12:09;Gato;Gato_2018;1;03/09/2018 12:09;03/09/2018 12:00;12
153;PRE;E33;03/09/2018 12:30;Gato;Gato_2018;1;03/09/2018 12:30;03/09/2018 13:00;13
154;PRE;E33;03/09/2018 12:40;Gato;Gato_2018;1;03/09/2018 12:40;03/09/2018 13:00;13
155;PRE;E33;03/09/2018 13:16;Gato;Gato_2018;1;03/09/2018 13:16;03/09/2018 13:00;13
156;PRE;E33;03/09/2018 13:47;Gato;Gato_2018;1;03/09/2018 13:47;03/09/2018 14:00;14
157;PRE;E33;03/09/2018 14:25;Gato;Gato_2018;1;03/09/2018 14:25;03/09/2018 14:00;14
158;PRE;E33;03/09/2018 15:28;Gato;Gato_2018;1;03/09/2018 15:28;03/09/2018 15:00;15
159;PRE;E33;03/09/2018 15:28;Gato;Gato_2018;1;03/09/2018 15:28;03/09/2018 15:00;15
160;PRE;E33;03/09/2018 15:50;Gato;Gato_2018;1;03/09/2018 15:50;03/09/2018 16:00;16
161;PRE;E33;03/09/2018 15:50;Gato;Gato_2018;1;03/09/2018 15:50;03/09/2018 16:00;16
162;PRE;E33;03/09/2018 17:38;Gato;Gato_2018;1;03/09/2018 17:38;03/09/2018 18:00;18
163;PRE;E33;03/09/2018 18:15;Gato;Gato_2018;1;03/09/2018 18:15;03/09/2018 18:00;18
164;PRE;E33;03/09/2018 18:15;Gato;Gato_2018;1;03/09/2018 18:15;03/09/2018 18:00;18
165;PRE;E33;03/09/2018 18:24;Gato;Gato_2018;1;03/09/2018 18:24;03/09/2018 18:00;18
166;PRE;E33;03/09/2018 18:24;Gato;Gato_2018;1;03/09/2018 18:24;03/09/2018 18:00;18
167;PRE;E33;03/09/2018 18:37;Gato;Gato_2018;1;03/09/2018 18:37;03/09/2018 19:00;19
168;PRE;E33;03/09/2018 18:44;Gato;Gato_2018;1;03/09/2018 18:44;03/09/2018 19:00;19
169;PRE;E33;03/09/2018 18:44;Gato;Gato_2018;1;03/09/2018 18:44;03/09/2018 19:00;19
170;PRE;E33;03/09/2018 18:47;Gato;Gato_2018;1;03/09/2018 18:47;03/09/2018 19:00;19
171;PRE;E33;03/09/2018 18:55;Gato;Gato_2018;1;03/09/2018 18:55;03/09/2018 19:00;19
172;PRE;E33;03/09/2018 19:09;Gato;Gato_2018;1;03/09/2018 19:09;03/09/2018 19:00;19
173;PRE;E33;03/09/2018 19:09;Gato;Gato_2018;1;03/09/2018 19:09;03/09/2018 19:00;19
174;PRE;E33;03/09/2018 19:11;Gato;Gato_2018;1;03/09/2018 19:11;03/09/2018 19:00;19
175;PRE;E33;03/09/2018 19:11;Gato;Gato_2018;1;03/09/2018 19:11;03/09/2018 19:00;19
176;PRE;E33;03/09/2018 19:44;Gato;Gato_2018;1;03/09/2018 19:44;03/09/2018 20:00;20
177;PRE;E33;03/09/2018 22:49;Gato;Gato_2018;1;03/09/2018 22:49;03/09/2018 23:00;23
178;PRE;E33;03/09/2018 23:14;Gato;Gato_2018;1;03/09/2018 23:14;03/09/2018 23:00;23
179;PRE;E33;04/09/2018 10:03;Gato;Gato_2018;1;04/09/2018 10:03;04/09/2018 10:00;10
180;PRE;E33;04/09/2018 10:06;Gato;Gato_2018;1;04/09/2018 10:06;04/09/2018 10:00;10
181;PRE;E33;04/09/2018 10:10;Gato;Gato_2018;1;04/09/2018 10:10;04/09/2018 10:00;10
182;PRE;E33;04/09/2018 10:21;Gato;Gato_2018;1;04/09/2018 10:21;04/09/2018 10:00;10
183;PRE;E33;04/09/2018 10:23;Gato;Gato_2018;1;04/09/2018 10:23;04/09/2018 10:00;10
184;PRE;E33;04/09/2018 10:35;Gato;Gato_2018;1;04/09/2018 10:35;04/09/2018 11:00;11
185;PRE;E33;04/09/2018 10:38;Gato;Gato_2018;1;04/09/2018 10:38;04/09/2018 11:00;11
